LocalDateTime,Open,High,Low,Close,Volume
25-04-2025 09:15:00,470,479.35,469.9,478.05,3042
25-04-2025 09:16:00,478.4,479,471.2,471.95,4938
25-04-2025 09:17:00,470.1,474,470.1,474,5350
25-04-2025 09:18:00,473.3,482.4,473.3,482.4,13592
25-04-2025 09:19:00,483.8,486.1,480.35,480.6,21786
25-04-2025 09:20:00,481.8,481.8,477,478.9,26136
25-04-2025 09:21:00,478.65,478.65,477.1,477.35,28108
25-04-2025 09:22:00,478.95,478.95,474.3,475.55,29690
25-04-2025 09:23:00,475.95,475.95,473,473,30425
25-04-2025 09:24:00,475.05,475.45,474.2,474.2,31069
25-04-2025 09:25:00,474.25,474.7,474,474,31330
25-04-2025 09:26:00,473.7,475.8,473.2,475.15,32647
25-04-2025 09:27:00,474.7,474.8,473.15,473.15,33144
25-04-2025 09:28:00,474,474,471.75,471.75,35813
25-04-2025 09:29:00,470,472.55,470,472.35,37607
25-04-2025 09:30:00,472.25,472.25,472.25,472.25,37684
25-04-2025 09:31:00,472,472,470,470.7,39286
25-04-2025 09:32:00,471.45,471.45,468.45,468.45,40191
25-04-2025 09:33:00,469.1,470.9,469.1,469.6,41589
25-04-2025 09:34:00,469.55,469.55,468,468,41702
25-04-2025 09:35:00,467.05,467.25,467.05,467.2,42370
25-04-2025 09:36:00,467.8,467.8,467.4,467.4,42438
25-04-2025 09:37:00,468.25,468.55,467.2,467.9,42871
25-04-2025 09:38:00,467,467,465,465,43310
25-04-2025 09:39:00,464.8,466.55,464.8,464.8,44208
25-04-2025 09:40:00,465.35,465.5,464.05,464.05,45989
25-04-2025 09:41:00,464.9,464.9,464.05,464.05,46144
25-04-2025 09:42:00,462.6,463.75,462.6,462.6,46683
25-04-2025 09:43:00,463.7,463.7,462.05,463.35,47167
25-04-2025 09:44:00,462.7,462.7,462.7,462.7,47191
25-04-2025 09:45:00,464,464,464,464,47843
25-04-2025 09:46:00,465.65,466.15,465,465,48162
25-04-2025 09:47:00,463.9,463.9,462.8,462.9,48319
25-04-2025 09:48:00,464.6,464.9,463.05,463.05,48498
25-04-2025 09:49:00,464.45,464.45,461,461,49752
25-04-2025 09:50:00,460.8,460.8,460.5,460.8,50780
25-04-2025 09:51:00,458.75,460.95,457.15,460.95,53268
25-04-2025 09:52:00,458.9,460.4,458.9,460.4,53491
25-04-2025 09:53:00,461.4,461.4,458.55,459.3,53631
25-04-2025 09:54:00,455,458.25,455,458.25,55744
